osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_gap.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2055 (1388 junction connector roads)
Junctions written: 179
Compound junctions: 92 (merging 338 OSM junction nodes)
Signals/signs written: 676
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w134547022_1 source_way=134547022 length=20.24 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547022_2 source_way=134547022 length=119.38 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547023_0 source_way=134547023 length=12.89 forward=4 backward=0 left_lanes=0 right_lanes=4 signals=2
w134547062_0 source_way=134547062 length=6.32 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547062_1 source_way=134547062 length=138.67 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w245985154_2 source_way=245985154 length=162.45 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547114_1 source_way=134547114 length=1.20 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=3
w134547114_2 source_way=134547114 length=5.38 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=3
w134547114_3 source_way=134547114 length=9.50 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w134547120_0 source_way=134547120 length=8.96 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547120_1 source_way=134547120 length=15.19 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547137_0 source_way=134547137 length=121.73 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=0
w759396644_0 source_way=759396644 length=35.95 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134547155_1 source_way=134547155 length=113.79 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w818085994_0 source_way=818085994 length=113.48 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w134631708_0 source_way=134631708 length=99.63 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134631714_0 source_way=134631714 length=120.39 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134631727_2 source_way=134631727 length=30.75 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134641644_0 source_way=134641644 length=104.06 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=2
w134641650_0 source_way=134641650 length=106.99 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134641651_0 source_way=134641651 length=134.18 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134641655_0 source_way=134641655 length=18.51 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134641655_1 source_way=134641655 length=4.26 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134641655_2 source_way=134641655 length=3.99 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
