osm2xodr conversion report
=========================

Input: build/windows-arm64/Debug/Karlsruhe.osm
Output: build/windows-arm64/Release/karlsruhe_plain.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2966 (1721 junction connector roads)
Junctions written: 424
Signals/signs written: 1096
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w102265427_0 source_way=102265427 length=31.05 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w102265429_0 source_way=102265429 length=21.33 forward=2 backward=0 left_lanes=0 right_lanes=3 signals=1
w102265429_1 source_way=102265429 length=15.67 forward=2 backward=0 left_lanes=0 right_lanes=3 signals=1
w102265431_0 source_way=102265431 length=14.31 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=3
w102265431_1 source_way=102265431 length=6.13 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w102265431_2 source_way=102265431 length=3.50 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w102265431_3 source_way=102265431 length=4.41 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w102265431_4 source_way=102265431 length=4.36 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w102265434_0 source_way=102265434 length=17.35 forward=3 backward=0 left_lanes=1 right_lanes=4 signals=2
w102265434_1 source_way=102265434 length=4.51 forward=3 backward=0 left_lanes=1 right_lanes=4 signals=2
w102265434_2 source_way=102265434 length=9.15 forward=3 backward=0 left_lanes=1 right_lanes=4 signals=1
w102265437_0 source_way=102265437 length=16.51 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w102265438_0 source_way=102265438 length=18.13 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w102265438_1 source_way=102265438 length=3.53 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w102265438_2 source_way=102265438 length=9.61 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=2
w102265438_3 source_way=102265438 length=21.27 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=1
w102266519_0 source_way=102266519 length=88.35 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w102266519_1 source_way=102266519 length=3.86 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=2
w102268110_0 source_way=102268110 length=68.06 forward=4 backward=0 left_lanes=0 right_lanes=4 signals=1
w102268110_1 source_way=102268110 length=4.11 forward=4 backward=0 left_lanes=0 right_lanes=4 signals=3
w102268110_2 source_way=102268110 length=7.66 forward=4 backward=0 left_lanes=0 right_lanes=4 signals=1
w102276887_0 source_way=102276887 length=35.19 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w102684455_0 source_way=102684455 length=10.70 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w102707777_0 source_way=102707777 length=10.98 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w102709098_0 source_way=102709098 length=20.74 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w102711305_0 source_way=102711305 length=33.24 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w102712225_0 source_way=102712225 length=6.04 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w105067746_0 source_way=105067746 length=18.00 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w105067748_0 source_way=105067748 length=18.00 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w105067749_0 source_way=105067749 length=2.26 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w118697568_0 source_way=118697568 length=13.60 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w118697568_1 source_way=118697568 length=4.03 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w118697568_2 source_way=118697568 length=8.64 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w118697568_3 source_way=118697568 length=8.72 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w119500062_0 source_way=119500062 length=138.46 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=0
