osm2xodr conversion report
=========================

Input: ../Debug/Karlsruhe.osm
Output: karlsruhe_final.xodr
OSM road ways parsed: 810
OpenDRIVE roads written: 2420 (1657 junction connector roads)
Junctions written: 256
Compound junctions: 93 (merging 259 OSM junction nodes)
Signals/signs written: 749
Projection origin: lat=49.0051 lon=8.43745

Road summary
------------
w134547021_0 source_way=134547021 length=102.59 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w134547022_0 source_way=134547022 length=17.74 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547022_1 source_way=134547022 length=18.27 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547022_2 source_way=134547022 length=111.88 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547023_0 source_way=134547023 length=12.88 forward=4 backward=0 left_lanes=0 right_lanes=4 signals=2
w134547062_0 source_way=134547062 length=6.32 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547062_1 source_way=134547062 length=137.85 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=1
w245985154_2 source_way=245985154 length=162.45 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547114_1 source_way=134547114 length=1.20 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=3
w134547114_2 source_way=134547114 length=5.38 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=3
w134547114_3 source_way=134547114 length=10.85 forward=3 backward=0 left_lanes=0 right_lanes=3 signals=1
w134547120_0 source_way=134547120 length=15.33 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=2
w134547120_1 source_way=134547120 length=15.19 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134547137_0 source_way=134547137 length=121.73 forward=1 backward=0 left_lanes=0 right_lanes=1 signals=0
w759396644_0 source_way=759396644 length=35.95 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134547155_1 source_way=134547155 length=115.81 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w818085994_0 source_way=818085994 length=113.48 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=0
w134547168_0 source_way=134547168 length=14.77 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134631708_0 source_way=134631708 length=103.99 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134631714_0 source_way=134631714 length=120.39 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134631727_2 source_way=134631727 length=30.75 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=1
w134641644_0 source_way=134641644 length=104.06 forward=1 backward=1 left_lanes=1 right_lanes=1 signals=2
w134641650_0 source_way=134641650 length=108.96 forward=2 backward=0 left_lanes=0 right_lanes=2 signals=1
w134641651_0 source_way=134641651 length=134.18 forward=1 backward=1 left_lanes=2 right_lanes=2 signals=1
w134641655_0 source_way=134641655 length=18.51 forward=1 backward=0 left_lanes=0 right_lanes=2 signals=2
